Año,Trimestre,Provincia,Accesos por cada 100 hab,Accesos por cada 100 hogares,Mbps (Media de bajada),HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros,Total_x,Banda ancha fija,Dial up,Total_y
2022,4,Chubut,26.23,85.57,15.92,1090,1614,46457,31007,34728,1577,19048,20026,168759,167855,904.0,168759
2022,4,Córdoba,27.26,89.03,108.77,990,9929,143686,108195,6312,20691,686330,1761,1049660,1049592,68.0,1049660
2022,4,Corrientes,13.6,51.64,94.72,670,3282,22647,24858,7025,377,85806,7998,155453,155449,4.0,155453
2022,4,Entre Ríos,19.14,64.01,87.47,1070,4722,45629,467,20927,22483,130406,0,270974,270952,22.0,270974
2022,4,Formosa,10.03,39.41,72.03,840,2450,22458,12391,6724,3100,18930,6980,61840,61840,0.0,61840
2022,4,Jujuy,14.95,58.46,39.32,580,1763,18652,1407,3643,3350,46910,0,118218,118218,0.0,118218
2022,4,La Pampa,31.23,94.8,19.1,680,1687,52618,10334,9167,4479,19783,16028,114164,113993,171.0,114164
2022,4,La Rioja,21.26,79.86,61.0,180,5950,2531,301,24435,5029,50644,0,86262,86258,4.0,86262
2022,4,Mendoza,14.33,51.36,38.76,1030,2954,35541,20355,35935,14909,161163,21144,292104,291327,777.0,292104
2022,4,Misiones,14.39,52.85,91.24,510,351,35622,21373,12196,3182,101745,859,186269,186269,0.0,186269
2022,4,Neuquén,23.41,78.67,95.37,1680,9940,38814,1396,13008,5739,85247,225,160180,159712,468.0,160180
2022,4,Río Negro,21.04,68.42,75.31,1110,1081,32053,13931,20442,7335,57495,29644,162092,161544,548.0,162092
2022,4,Salta,14.04,57.96,75.93,1140,1197,31530,71105,5036,1170,90014,6747,205860,205855,5.0,205860
2022,4,San Juan,12.96,50.88,16.39,240,2027,30069,11247,2044,8188,19991,1184,103826,103545,281.0,103826
2022,4,San Luis,25.83,90.27,30.67,600,6240,11785,24684,13981,78506,2227,3353,135220,135028,192.0,135220
2022,4,Santa Cruz,12.95,43.53,14.33,510,681,11616,11509,10374,3236,5559,1048,50203,50005,198.0,50203
2022,4,Santa Fe,24.65,78.4,90.3,4680,9374,115767,19442,73345,22899,453078,1834,887691,887581,110.0,887691
2022,4,Santiago Del Estero,11.92,48.05,34.4,1780,1267,26183,58136,17735,6610,14345,9890,119494,119492,2.0,119494
2022,4,Tierra Del Fuego,30.07,101.44,13.48,220,9020,11649,13634,21365,3612,1812,2264,55260,54948,312.0,55260
2022,4,Tucumán,15.12,61.04,88.33,390,1562,29996,35425,26369,1375,153538,15118,263422,263392,30.0,263422
2022,3,Buenos Aires,26.37,78.11,70.19,29985,27709,290315,297915,267044,12419,3618689,65821,4721668,4715469,6.199,4721668
2022,3,Capital Federal,50.22,122.28,101.05,5170,5742,34371,67829,51946,28692,1253105,105477,1547679,1545534,2.145,1547679
2022,3,Catamarca,16.62,65.33,60.99,710,3840,3107,5389,5099,3737,50298,2208,70293,70292,1.0,70293
2022,3,Chaco,11.72,43.86,53.21,4610,9870,16782,18938,8049,15828,79390,3711,144146,144141,5.0,144146
2022,3,Chubut,25.86,84.38,15.57,1090,1444,45707,3094,34682,15309,17563,20024,165778,164874,904.0,165778
2022,3,Córdoba,27.04,88.31,56.32,990,11312,153324,111615,70989,27112,650344,13873,1038668,1038600,68.0,1038668
2022,3,Corrientes,12.69,48.21,45.07,670,3865,23427,23948,7776,21706,56950,7107,144846,144842,4.0,144846
2022,3,Entre Ríos,19.04,63.67,42.49,1070,5549,47210,46855,18263,32021,102195,16759,268959,268937,22.0,268959
2022,3,Formosa,11.14,43.76,30.35,970,3070,23538,19545,6194,5640,17704,5890,68538,68537,1.0,68538
2022,3,Jujuy,15.06,58.91,32.43,580,1879,19135,15254,36083,5190,45895,0,118823,118823,0.0,118823
2022,3,La Pampa,31.82,96.59,18.1,680,1887,61540,9653,11592,5609,22731,3012,116092,115921,171.0,116092
2022,3,La Rioja,21.47,80.66,44.3,180,6890,2842,3375,24219,5331,50390,0,86864,86860,4.0,86864
2022,3,Mendoza,14.24,51.03,34.16,1030,2953,44232,21977,48201,17243,150043,4771,289523,288746,777.0,289523
2022,3,Misiones,14.11,51.82,49.3,510,3749,36628,20758,12676,19615,80330,835,182157,182157,0.0,182157
2022,3,Neuquén,23.92,80.37,47.81,1340,9910,38485,1408,92,67,78713,14858,163161,162693,468.0,163161
2022,3,Río Negro,20.91,67.98,34.13,1110,1221,32936,1786,27934,13629,42596,24271,160558,160010,548.0,160558
2022,3,Salta,13.99,57.76,41.33,1140,149,32923,71199,5662,1001,85661,6491,204541,204536,5.0,204541
2022,3,San Juan,12.94,50.8,15.84,240,2027,30324,11247,22157,678,19221,11619,103399,103118,281.0,103399
2022,3,San Luis,23.39,81.74,19.33,600,3070,6563,20813,12061,67438,13,14815,122070,121888,182.0,122070
2022,3,Santa Cruz,12.85,43.19,12.6,520,6841,12342,11313,11378,2333,4604,6470,49510,49312,198.0,49510
2022,3,Santa Fe,24.7,78.55,45.15,4680,11132,132709,198588,70897,57455,396352,20209,887810,887700,110.0,887810
2022,3,Santiago Del Estero,11.91,47.98,17.69,1780,1384,28357,58982,16087,9100,12342,7920,119032,119030,2.0,119032
2022,3,Tierra Del Fuego,29.5,99.51,11.01,220,8310,12002,14815,20102,1752,1021,3351,53896,53584,312.0,53896
2022,3,Tucumán,15.14,61.14,53.36,390,2047,32571,39018,25214,4348,159600,2800,263117,263087,30.0,263117
2022,2,Buenos Aires,26.13,77.58,65.5,30639,28323,295238,307554,273954,129869,3535757,65849,4667183,4660984,6.199,4667183
2022,2,Capital Federal,49.87,121.31,93.97,5170,598,36036,72434,55372,31571,1229254,105607,1536771,1534626,2.145,1536771
2022,2,Catamarca,15.87,62.4,56.56,710,4130,3678,6155,7165,3393,43926,2207,67008,67007,1.0,67008
2022,2,Chaco,11.7,43.79,50.61,4610,1047,17603,20109,8391,15974,76271,3708,143564,143559,5.0,143564
2022,2,Chubut,25.5,83.19,14.91,1090,1444,45804,31217,3429,14526,15394,20021,162805,161901,904.0,162805
2022,2,Córdoba,26.78,87.48,53.51,990,11971,160486,120485,71923,28645,619400,13426,1026435,1026367,68.0,1026435
2022,2,Corrientes,12.73,48.35,43.31,670,3937,24253,24842,8001,21719,55071,7107,144997,144993,4.0,144997
2022,2,Entre Ríos,19.1,63.9,40.03,1070,5656,48637,48557,18512,32355,98769,16759,269352,269330,22.0,269352
2022,2,Formosa,11.05,43.42,28.47,970,4070,23834,19706,633,5910,16326,5900,67881,67881,0.0,67881
2022,2,Jujuy,14.66,57.32,29.39,580,1829,19458,1579,37786,5490,37391,2453,115314,115314,0.0,115314
2022,2,La Pampa,30.63,92.98,16.07,680,1887,62546,9842,118,5247,17125,3012,111527,111356,171.0,111527
2022,2,La Rioja,21.33,80.14,43.28,180,7280,3179,389,23814,5481,48920,0,86030,86026,4.0,86030
2022,2,Mendoza,13.78,49.39,29.72,1030,2954,44961,22557,64138,19543,121366,394,279562,278785,777.0,279562
2022,2,Misiones,13.89,51.0,46.23,510,3808,37254,21712,12774,19757,75107,835,178813,178813,0.0,178813
2022,2,Neuquén,23.82,80.02,46.53,1340,9990,38826,15066,9205,2039,76982,18717,161968,161500,468.0,161968
2022,2,Río Negro,20.87,67.85,33.26,1110,1227,33364,17938,27168,13714,41972,2427,159764,159216,548.0,159764
2022,2,Salta,13.94,57.54,38.77,1140,153,33732,72661,6012,1156,81478,6494,203177,203172,5.0,203177
2022,2,San Juan,12.6,49.46,14.44,240,2027,30385,11276,24649,3728,16701,11617,100407,100126,281.0,100407
2022,2,San Luis,23.4,81.76,19.32,600,3060,6840,21217,11052,67438,13,14815,121741,121559,182.0,121741
2022,2,Santa Cruz,12.84,43.15,11.81,520,6841,12348,11369,11885,2454,3592,6440,49185,48987,198.0,49185
2022,2,Santa Fe,24.5,77.9,42.01,4680,11757,138534,204381,74133,58114,373888,17584,878859,878749,110.0,878859
2022,2,Santiago Del Estero,11.84,47.7,16.34,1780,1401,29581,59931,14606,8830,10672,7920,118044,118042,2.0,118044
2022,2,Tierra Del Fuego,29.6,99.86,10.97,220,8310,12052,14828,19968,1712,1006,3351,53770,53458,312.0,53770
2022,2,Tucumán,14.69,59.31,50.09,390,2195,34461,43513,23634,4863,145541,2810,254527,254497,30.0,254527
2022,1,Buenos Aires,25.56,76.08,62.51,31591,30056,313382,321756,290127,161183,3381049,2628,4555424,4549131,6.293,4555424
2022,1,Capital Federal,46.01,111.8,88.22,5270,5575,39918,7739,61053,43289,1188072,1717,1417541,1415378,2.163,1417541
2022,1,Catamarca,14.81,58.21,51.22,710,4560,4386,7009,8773,3761,35715,2207,62378,62377,1.0,62378
2022,1,Chaco,11.78,44.06,45.84,4610,1099,16888,21235,20898,13012,62946,758,144119,144114,5.0,144119
2022,1,Chubut,26.99,88.05,13.4,1130,1677,61369,31856,3308,13871,14055,15607,171628,170701,927.0,171628
2022,1,Córdoba,26.26,85.76,49.89,1000,12782,165922,126009,73967,34892,577027,13104,1003803,1003729,74.0,1003803
2022,1,Corrientes,12.55,47.64,38.11,670,4029,24563,25665,27077,10452,43631,7094,142578,142574,4.0,142578
2022,1,Entre Ríos,19.05,63.7,35.59,1070,5745,50075,4962,42294,21578,81757,1675,267926,267904,22.0,267926
2022,1,Formosa,8.9,34.96,30.28,970,4480,24113,6945,6613,7160,15028,5880,54548,54548,0.0,54548
2022,1,Jujuy,14.85,58.06,27.69,580,1761,22141,16321,37923,5760,35287,2442,116509,116509,0.0,116509
2022,1,La Pampa,30.2,91.66,14.84,3010,2223,62812,9869,12044,525,14400,2833,109732,109560,172.0,109732
2022,1,La Rioja,20.97,78.77,41.37,180,7780,3576,4692,23624,5645,45970,0,84303,84299,4.0,84303
2022,1,Mendoza,13.6,48.74,26.2,1140,3355,51230,26407,74178,21566,95048,3287,275185,274399,786.0,275185
2022,1,Misiones,13.36,49.04,41.87,510,3873,35655,22261,26855,15854,58610,8349,171508,171508,0.0,171508
2022,1,Neuquén,22.08,74.17,43.05,1370,1123,39856,15623,11163,2654,71238,7885,149679,149208,471.0,149679
2022,1,Río Negro,20.62,67.04,31.09,1160,1383,35565,18859,26926,14144,37729,22652,157374,156821,553.0,157374
2022,1,Salta,13.59,56.11,36.71,1140,1725,35576,68246,6313,2214,76838,6489,197515,197510,5.0,197515
