Provincia,Partido,Localidad,Link Indec,ADSL,Cablemodem,Dail Up,Fibra Optica,Otros1,Satelital,Wimax,Wireless,Total general,Otros,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps
Buenos Aires,Tres Arroyos,San Francisco de Bellocq,6833080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,158.0,,0.0,0.0,21.0,0.0,0.0,61.0,76.0
Buenos Aires,Tres Arroyos,San Mayol,6833090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,,0.0,0.0,0.0,0.0,0.0,18.0,0.0
Buenos Aires,Tres Arroyos,Tres Arroyos,6833100,1077.0,14088.0,57.0,1663.0,54.0,1.0,0.0,1341.0,18281.0,2.0,2.0,40.0,697.0,5777.0,700.0,1812.0,9473.0
Buenos Aires,Tres De Febrero,11 De Septiembre,6840010,6.0,1287.0,0.0,4.0,1.0,0.0,0.0,0.0,1298.0,,0.0,2.0,2.0,17.0,0.0,2.0,1302.0
Buenos Aires,Tres De Febrero,Caseros,6840010,1694.0,24734.0,2.0,9437.0,26.0,1.0,0.0,2.0,35896.0,2.0,2.0,121.0,143.0,1053.0,36.0,727.0,34152.0
Buenos Aires,Tres De Febrero,Churruca,6840010,2.0,955.0,0.0,1630.0,0.0,0.0,0.0,0.0,2587.0,,0.0,0.0,2.0,20.0,0.0,1552.0,963.0
Buenos Aires,Tres De Febrero,Ciudad Jardín Lomas del Palomar,6840010,276.0,5555.0,0.0,925.0,2.0,0.0,0.0,0.0,6758.0,,0.0,20.0,20.0,205.0,7.0,68.0,6497.0
Buenos Aires,Tres De Febrero,Ciudadela,6840010,127.0,11780.0,66.0,16040.0,53.0,3.0,0.0,4.0,28073.0,7.0,15.0,46.0,202.0,754.0,75.0,8265.0,17694.0
Buenos Aires,Tres De Febrero,El Libertador,6840010,53.0,3041.0,0.0,1.0,0.0,0.0,0.0,0.0,3095.0,,0.0,3.0,19.0,79.0,0.0,13.0,3069.0
Buenos Aires,Tres De Febrero,Jose Ingenieros,6840010,32.0,2022.0,0.0,591.0,3.0,0.0,0.0,5.0,2653.0,,0.0,7.0,4.0,42.0,8.0,3.0,2612.0
Buenos Aires,Tres De Febrero,Loma Hermosa,6840010,369.0,6058.0,0.0,58.0,18.0,0.0,0.0,0.0,6503.0,1.0,0.0,27.0,115.0,274.0,8.0,46.0,6128.0
Buenos Aires,Tres De Febrero,Martín Coronado,6840010,45.0,5271.0,1.0,2893.0,6.0,0.0,0.0,0.0,8216.0,,1.0,11.0,16.0,66.0,3.0,16.0,8185.0
Buenos Aires,Tres De Febrero,Pablo Podestá,6840010,1322.0,3626.0,0.0,9.0,12.0,0.0,0.0,438.0,5407.0,4.0,0.0,27.0,147.0,1029.0,227.0,403.0,3624.0
Buenos Aires,Tres De Febrero,Remedios De Escalada,6840010,33.0,3119.0,0.0,9187.0,16.0,0.0,0.0,0.0,12355.0,1.0,0.0,8.0,22.0,66.0,1.0,9.0,12333.0
Buenos Aires,Tres De Febrero,Saenz Peña,6840010,152.0,5617.0,0.0,982.0,0.0,1.0,0.0,1.0,6753.0,1.0,1.0,16.0,21.0,151.0,6.0,29.0,6594.0
Buenos Aires,Tres De Febrero,Santos Lugares,6840010,188.0,6779.0,0.0,1389.0,8.0,0.0,0.0,1.0,8365.0,4.0,0.0,26.0,30.0,170.0,14.0,30.0,8188.0
Buenos Aires,Tres De Febrero,Villa Bosch (Est. Juan Maria Bosch),6840010,58.0,7657.0,0.0,6518.0,3.0,0.0,0.0,0.0,14236.0,,0.0,18.0,16.0,108.0,3.0,3141.0,10505.0
Buenos Aires,Tres De Febrero,Villa Raffo,6840010,72.0,2082.0,0.0,725.0,3.0,0.0,0.0,0.0,2882.0,,0.0,13.0,25.0,56.0,1.0,5.0,2808.0
Buenos Aires,Tres Lomas,Tres Lomas,6847020,62.0,814.0,1.0,408.0,319.0,0.0,0.0,179.0,1783.0,,0.0,0.0,377.0,816.0,83.0,529.0,7.0
Buenos Aires,Vicente López,Carapachay,6861010,317.0,5112.0,1.0,2753.0,2.0,0.0,0.0,0.0,8185.0,1.0,1.0,43.0,38.0,211.0,9.0,87.0,7828.0
Buenos Aires,Vicente López,Florida,6861010,503.0,12753.0,2.0,9332.0,6.0,0.0,0.0,2.0,22598.0,1.0,2.0,58.0,43.0,435.0,14.0,199.0,21948.0
Buenos Aires,Vicente López,Florida Oeste,6861010,273.0,5544.0,0.0,3642.0,5.0,1.0,0.0,245.0,9710.0,,6.0,11.0,152.0,350.0,12.0,137.0,9087.0
Buenos Aires,Vicente López,La Lucila,6861010,111.0,3681.0,1.0,1985.0,1.0,0.0,0.0,0.0,5779.0,,1.0,18.0,16.0,69.0,2.0,40.0,5659.0
Buenos Aires,Vicente López,Munro,6861010,290.0,8780.0,8.0,7059.0,10.0,1.0,0.0,1.0,16149.0,9.0,10.0,55.0,88.0,380.0,12.0,105.0,15618.0
Buenos Aires,Vicente López,Olivos,6861010,784.0,20934.0,4.0,14321.0,10.0,1.0,0.0,0.0,36054.0,11.0,3.0,102.0,135.0,633.0,26.0,1266.0,33484.0
Buenos Aires,Vicente López,Vicente López,6861010,198.0,8944.0,3.0,4892.0,17.0,0.0,0.0,1.0,14055.0,38.0,0.0,41.0,31.0,174.0,8.0,209.0,13542.0
Buenos Aires,Vicente López,Villa Adelina,6861010,0.0,546.0,0.0,1358.0,0.0,0.0,0.0,0.0,1904.0,,0.0,0.0,1.0,17.0,0.0,2.0,1894.0
Buenos Aires,Vicente López,Villa Martelli,6861010,492.0,5489.0,1.0,5656.0,3.0,0.0,0.0,375.0,12016.0,4.0,1.0,33.0,265.0,515.0,23.0,1311.0,9658.0
Buenos Aires,Villa Gesell,Villa Gesell,6868020,5011.0,0.0,0.0,6583.0,107.0,0.0,0.0,0.0,11701.0,1.0,0.0,0.0,136.0,8664.0,0.0,384.0,2516.0
Buenos Aires,Villarino,Juan Cousté  (Est. Algarrobo),6875040,0.0,0.0,1.0,0.0,0.0,0.0,0.0,82.0,83.0,,0.0,0.0,0.0,82.0,0.0,0.0,0.0
Buenos Aires,Villarino,Mayor Buratovich,6875050,0.0,0.0,0.0,630.0,0.0,0.0,0.0,0.0,630.0,,0.0,0.0,0.0,129.0,0.0,447.0,54.0
Buenos Aires,Villarino,Médanos,6875060,461.0,523.0,1.0,0.0,0.0,0.0,0.0,103.0,1088.0,,0.0,0.0,315.0,386.0,335.0,11.0,0.0
Buenos Aires,Villarino,Pedro Luro,6875070,379.0,582.0,0.0,1666.0,1.0,0.0,0.0,550.0,3178.0,,0.0,0.0,33.0,721.0,714.0,1576.0,148.0
Buenos Aires,Villarino,Argerich,6875010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,,0.0,0.0,4.0,23.0,1.0,0.0,0.0
